actual,estimate,period,symbol,year,quarter,beat,f1_pup,f2_vup,f3_bothup,f4_average_price
0.77,0.75864,2008-12-31,WMT,2008,4,1,0.390625,0.453125,0.21875,54.53765625000001
0.86,0.83619,2008-09-30,WMT,2008,3,1,0.578125,0.484375,0.3125,58.84968749999999
0.76,0.7540899999999999,2008-06-30,WMT,2008,2,1,0.484375,0.453125,0.234375,56.92828125
1.04,1.01619,2008-03-31,WMT,2008,1,1,0.5573770491803278,0.47540983606557374,0.29508196721311475,49.625673770491794
0.69,0.672,2007-12-31,WMT,2007,4,1,0.546875,0.5,0.265625,46.222343749999986
0.72,0.7635,2007-09-30,WMT,2007,3,0,0.4444444444444444,0.3968253968253968,0.15873015873015872,45.398888888888884
0.68,0.67591,2007-06-30,WMT,2007,2,1,0.47619047619047616,0.49206349206349204,0.23809523809523808,48.26888888888888
0.92,0.8961899999999999,2007-03-31,WMT,2007,1,1,0.5901639344262295,0.47540983606557374,0.2786885245901639,47.85655737704918
0.62,0.5945,2006-12-31,WMT,2006,4,1,0.4603174603174603,0.42857142857142855,0.19047619047619047,47.62126984126984
0.72,0.72263,2006-09-30,WMT,2006,3,0,0.4603174603174603,0.49206349206349204,0.2857142857142857,45.63619047619048
0.63,0.6077,2006-06-30,WMT,2006,2,1,0.49206349206349204,0.5714285714285714,0.2857142857142857,47.190793650793644
0.84,0.8276,2006-03-31,WMT,2006,1,1,0.5,0.532258064516129,0.27419354838709675,46.055324193548394
0.57,0.57144,2005-12-31,WMT,2005,4,0,0.38095238095238093,0.5079365079365079,0.15873015873015872,47.380952380952365
0.67,0.6534800000000001,2005-09-30,WMT,2005,3,1,0.453125,0.4375,0.203125,47.17531250000002
0.55,0.5608,2005-06-30,WMT,2005,2,0,0.421875,0.453125,0.1875,48.06031250000001
0.75,0.7380800000000001,2005-03-31,WMT,2005,1,1,0.32786885245901637,0.4098360655737705,0.14754098360655737,52.478032786885244
0.54,0.53852,2004-12-31,WMT,2004,4,1,0.5,0.515625,0.265625,53.760312500000005
0.62,0.605,2004-09-30,WMT,2004,3,1,0.5,0.46875,0.21875,52.940000000000005
